Title,Authors,Skip,Abstract
Improving software quality for regular expression matching tools using automated combinatorial testing,['FA Aldebeyan'],,"Regular expression matching tools (grep) match regular expressions to lines of text. However, because of the complexity that regular expressions can reach, it is challenging to apply state of the art automated testing frameworks to grep tools. Combinatorial testing has shown to be an effective testing methodology, especially for systems with large input spaces. In this dissertation, we investigate the approach of a fully automated combinatorial testing system for regular expression matching tools CoRE (Combinatorial testing for Regular Expressions). CoRE automatically generates test cases using combinatorial testing and measures correctness using differential testing. CoRE outperformed AFL and AFLFast in terms of code coverage testing icGrep, GNU grep and PCRE grep."
Improving the effectiveness of testing pervasive software via,"['H Wang', 'WK Chan', 'TH Tse']",,"Context-aware pervasive software is responsive to various contexts and their changes. A faulty implementation of the context-aware features may lead to unpredictable behavior with adverse effects. In software testing, one of the most important research issues is to determine the sufficiency of a test suite to verify the software under test. Existing adequacy criteria for testing traditional software, however, have not explored the dimension of serial test inputs and have not considered context changes when constructing test suites. In this article, we define the concept of context diversity to capture the extent of context changes in serial inputs and propose three strategies to study how context diversity may improve the effectiveness of the data-flow testing criteria. Our case study shows that the strategy that uses test cases with higher context diversity can significantly improve the effectiveness of existing data-flow testing criteria for context-aware pervasive software. In addition, test suites with higher context diversity are found to execute significantly longer paths, which may provide a clue that reveals why context diversity can contribute to the improvement of effectiveness of test suites."
Improving the quality of automotive test case specifications,['K Juhnke'],,"Context. Test case specifications are a central element of a structured automotive test process. They contain natural language test cases that are used to perform manual tests in prototype vehicles (entire vehicle test) or as a basis for implementing test scripts (system integration test). Problem. Usually, these test case specifications are written by several test designers and executed by different testers. The different actors involved, who write and interpret test cases differently, and the fact that such test cases are predominantly written in natural language, impairs the quality of test case specifications. Thus, quality deficiencies, such as ambiguous, incomplete, or inconsistent test cases, have a negative impact on the cost and time required for testing and on the probability of detecting defects. Goal. The aim of this thesis is to identify challenges that negatively influence the quality of test case specifications and to define and evaluate quality assurance methods that counter them. Method. This thesis is based on the methodological approach of Design Science Research. First, challenges which have an influence on the quality of test case specifications are systematically identified in an exploratory case study and assessed by practitioners in a descriptive survey in terms of frequency and criticality. Second, quality characteristics for automotive test case specifications are determined based on the identified challenges, related work on test case quality, and expert workshops to develop a quality model and review checklists to be used for analytical quality assurance. Furthermore, a constructive quality assurance method called Test Case Specification-Oriented Domain Analysis Method is developed, which focuses on the derivation of system-specific templates for the specification of automotive test cases. Third, the review checklists are evaluated by test designers as well as testers and discussed in an expert workshop. In addition, the applicability of the developed domain analysis method for deriving system-specific templates is evaluated and a controlled experiment is conducted to compare the conventional natural language approach with the template-based approach for specifying test cases. Results. This thesis presents a taxonomy of nine main categories of challenges concerning automotive test case specifications. To improve their quality, this thesis presents on the one hand a quality model, which forms the basis for the developed perspective-based review checklists. On the other hand, the developed Test Case Specification-Oriented Domain Analysis Method supports the derivation of system-specific templates based on existing test case specifications. Additionally, it is shown that the template-based approach leads to fewer defects in test case specifications. Finally, it is presented how the developed review checklists and a tool support for the derivation and use of system-specific templates were integrated into an existing automotive tool chain. Conclusion. In summary, this thesis identifies challenges with test case specifications in the automotive domain and presents two approaches to improve the quality of automotive test case specifications."
Improving the testing of Profit Software's insurance policy database system,['K Nordman'],,"Profit Software's Profit Life and Pension (PLP) is an investment insurance management system. This means that PLP handles investment insurances from the moment they are sold to when they eventually expire. For a system that handles money, it is important that it can be trusted. Therefore, testing is a required part of PLP's development. This thesis is an investigation into PLP's testing strategy. In this thesis we analyse PLP's current testing strategy to find flaws and impediments. We then offer improvement suggestions to the identified problem areas as well as suggest additions which we found could be beneficial."
Increasing system test coverage in production automation systems,"['S Ulewicz', 'B Vogel-Heuser']",,"An approach is introduced, which supports a testing technician in the identification of possibly untested behavior of control software of fully integrated automated production systems (aPS). Based on an approach for guided semi-automatic system testing, execution traces are recorded during testing, allowing for a subsequent coverage assessment. As the behavior of an aPS is highly dependent on the software, omitted system behavior can be identified and assessed for criticality. Through close cooperation with industry, this approach represents the first coverage assessment approach for system testing in production automation to be applied on real industrial objects and evaluated by industrial experts."
Intelligent evaluation of test suites for developing efficient and reliable software,"['M Mohammadian', 'Z Javed']",,"Test suites play an important role in developing reliable software applications. Generally, the behaviour of software applications is verified by executing test suites to find defects. The quality of a test suite needs to be evaluated and enriched (if needed) especially for testing critical systems, such as plane-navigation system. This paper presents a novel method for comparing concrete and executable test suites using equivalence classes. This comparison identifies gaps in test suites with respect to each other. These gaps indicate potential weaknesses in the test suites. Furthermore, this method provides a mechanism to enrich the test suites using these gaps. In this method, we devise equivalence classes, and associate each test case to an equivalence class. We, then, simulate the comparison of test suites by comparing sets of equivalence classes. The method compares test suites in a platform independent manner. The test suites, which are compared, are smaller than the original test suites because the redundant test cases are removed from the test suites, which makes it efficient. We exercise our method over three case studies to demonstrate its viability and effectiveness. The first case study illustrates the application of the method and evaluates its effectiveness using a mutation analysis. The second case study evaluates its effectiveness using mutation and coverage analyses. The final case study evaluates it on a real case study, which is Lucene search engine."
Introduction du test dans la modélisation par aspects,"['J Klein', 'B Baudry', 'O Barais', 'A Jackson']",x (not English),
Introduction to software testing,"['P Ammann', 'J Offutt']",x (Book),
Investigate the matrix: leveraging variability to specialize software and test suites,['P Temple'],,"Nowadays, software have to be efficient, fast to execute, etc. They can be configured to adapt to specific needs. Each configuration leads to a different system and usually it is hard to generate them all. Thus, the exhaustive evaluation of their performance is impossible. Furthermore, several executions of systems, under different conditions, are needed to properly evaluate performances. Two dimensions emerge from this description of performance testing: the selection of system configurations allowing to generate associated systems that meet expressed needs and the selection of test cases allowing to observe performances of systems under different conditions. We propose to represent those two dimensions as a (performance) matrix: one dimension represents selected systems that can be observed while the other dimension represents the set of test cases that will be executed on each of these systems. Each cell is the execution of a program variant regarding a test. The contributions of this thesis are as follows : First, we leverage Machine Learning techniques in order to specialize a Software Product Line (in this case a video generator) helping in selecting a configuration that is likely to meet requirements. End users must be able to express their requirements such that it results in a binary decision problem (i.e., configurations that are acceptable and those that are not). Machine Learning techniques are then used to retrieve partial configurations that specialize a Software Product Line to guide end users and reduce the configuration space. In the end, this work aims at diminishing the first dimension of the matrix that deals with systems and programs. Second, we propose a new method assessing the ability of test suites to reveal significant performance differences of a set of configurations tackling the same task. This method can be used to assess whether a new test case is worth adding to a test suite or to select an optimal test set with respect to a property of interest. In the end, it might help structuring the execution of tests. For instance, it can create an order of execution resulting in using less test cases that are presented in the second dimension of the matrix. We evaluated our approach on several systems from different domains such as OpenCV or Haxe."
L3. 4: Etude de réduction de suites de tests,"['T Triki', 'L du-Bousquet', 'Y Ledru']",x (not English),
Learning from super-mutants: searching post-apocalyptic software ecosystems for novel semantics-preserving transforms,"['J Landsborough', 'S Harding', 'S Fugate']",,"In light of recent advances in genetic-algorithm-driven automated program modification, our team has been actively exploring the art, engineering, and discovery of novel semantics-preserving transforms. While modern compilers represent some of the best ideas we have for automated program modification, current approaches represent only a small subset of the types of transforms which can be achieved. In the wilderness of post-apocalyptic software ecosystems of genetically-modified and mutant programs, there exist a broad array of potentially useful software mutations, including semantics-preserving transforms that may play an important role in future software design, development, and most importantly, evolution."
Lightweight lexical test prioritization for immediate feedback,"['T Mattis', 'R Hirschfeld']",,"The practice of unit testing enables programmers to obtain automated feedback on whether a currently edited program is consistent with the expectations specified in test cases. Feedback is most valuable when it happens immediately, as defects can be corrected instantly before they become harder to fix. With growing and longer running test suites, however, feedback is obtained less frequently and lags behind program changes. The objective of test prioritization is to rank tests so that defects, if present, are found as early as possible or with the least costs. While there are numerous static approaches that output a ranking of tests solely based on the current version of a program, we focus on change-based test prioritization, which recommends tests that likely fail in response to the most recent program change. The canonical approach relies on coverage data and prioritizes tests that cover the changed region, but obtaining and updating coverage data is costly. More recently, information retrieval techniques that exploit overlapping vocabulary between change and tests have proven to be powerful, yet lightweight. In this work, we demonstrate the capabilities of information retrieval for prioritizing tests in dynamic programming languages using Python as example. We discuss and measure previously understudied variation points, including how contextual information around a program change can be used, and design alternatives to the widespread \emph{TF-IDF} retrieval model tailored to retrieving failing tests. To obtain program changes with associated test failures, we designed a tool that generates a large set of faulty changes from version history along with their test results. Using this data set, we compared existing and new lexical prioritization strategies using four open-source Python projects, showing large improvements over untreated and random test orders and results consistent with related work in statically typed languages. We conclude that lightweight IR-based prioritization strategies are effective tools to predict failing tests in the absence of coverage data or when static analysis is intractable like in dynamic languages. This knowledge can benefit both individual programmers that rely on fast feedback, as well as operators of continuous integration infrastructure, where resources can be freed sooner by detecting defects earlier in the build cycle."
MC/DC coverage measurement of C programs,['EA Gerlits'],,"MC/DC is a test coverage criterion which is usually applied in testing safety critical software including embedded software and especially dealing with avionics software. In this article, we discuss some practical issues connected with test coverage measurement for MC/DC written in C programming language and come up with the solutions to them. Chosen solutions influence on the quality of testing. The given article includes the part of our research wherein we perform testing of MC/DC coverage analysis tools for C/C++."
MS-guided many-objective evolutionary optimisation for test suite minimisation,"['W Zheng', 'X Wu', 'S Cao', 'J Lin']",,"Test suite minimisation is a process that seeks to identify and then eliminate the obsolete orredundant test cases from the test suite. It is a trade-off between cost andother value criteria and is appropriate to be described as a many-objectiveoptimisation problem. This study introduces a mutation score (MS)-guidedmany-objective optimisation approach, which prioritises the fault detectionability of test cases and takes MS, cost and three standard code coveragecriteria as objectives for the test suite minimisation process. They use sixclassical evolutionary many-objective optimisation algorithms to identifyefficient test suite, and select three small programs from the Software-ArtefactInfrastructure Repository (SIR) and two larger program space and gzip forexperimental evaluation as well as statistical analysis. The experiment resultsof the three small programs show non-dominated sorting genetic algorithm II(NSGA-II) with tuning was the most effective approach. However, MOEA/D-PBI andMOEA/D-WS outperform NSGA-II in the cases of two large programs. On the otherhand, the test cost of the optimal test suite obtained by their proposedMS-guided many-objective optimisation approach is much lower than the onewithout it in most situation for both small programs and large programs."
Machine learning applied to software testing: A systematic mapping study,"['VHS Durelli', 'RS Durelli', 'SS Borges']",,"Software testing involves probing into the behavior of software systems to uncover faults. Most testing activities are complex and costly, so a practical strategy that has been adopted to circumvent these issues is to automate software testing. There has been a growing interest in applying machine learning (ML) to automate various software engineering activities, including testing-related ones. In this paper, we set out to review the state-of-the art of how ML has been explored to automate and streamline software testing and provide an overview of the research at the intersection of these two fields by conducting a systematic mapping study. We selected 48 primary studies. These selected studies were then categorized according to study type, testing activity, and ML algorithm employed to automate the testing activity. The results highlight the most widely used ML algorithms and identify several avenues for future research. We found that ML algorithms have been used mainly for test-case generation, refinement, and evaluation. Also, ML has been used to evaluate test oracle construction and to predict the cost of testing-related activities. The results of this paper outline the ML algorithms that are most commonly used to automate software-testing activities, helping researchers to understand the current state of research concerning ML applied to software testing. We also found that there is a need for better empirical studies examining how ML algorithms have been used to automate software-testing activities."
Mapeamento e aplicação de testes estatísticos em engenharia de software,['MNP Detoni'],x (not English),
Maple: A coverage-driven testing tool for multithreaded programs,"['J Yu', 'S Narayanasamy', 'C Pereira']",,"Testing multithreaded programs is a hard problem, because it is challenging to expose those rare interleavings that can trigger a concurrency bug. We propose a new thread interleaving coverage-driven testing tool called Maple that seeks to expose untested thread interleavings as much as possible. It memoizes tested interleavings and actively seeks to expose untested interleavings for a given test input to increase interleaving coverage. We discuss several solutions to realize the above goal. First, we discuss a coverage metric based on a set of interleaving idioms. Second, we discuss an online technique to predict untested interleavings that can potentially be exposed for a given test input. Finally, the predicted untested interleavings are exposed by actively controlling the thread schedule while executing for the test input. We discuss our experiences in using the tool to expose several known and unknown bugs in real-world applications such as Apache and MySQL."
Mdroid+: A mutation testing framework for android,"['K Moran', 'M Tufano', 'C Bernal-Cárdenas']",,"Mutation testing has shown great promise in assessing the effectiveness of test suites while exhibiting additional applications to test-case generation, selection, and prioritization. Traditional mutation testing typically utilizes a set of simple language specific source code transformations, called operators, to introduce faults. However, empirical studies have shown that for mutation testing to be most effective, these simple operators must be augmented with operators specific to the domain of the software under test. One challenging software domain for the application of mutation testing is that of mobile apps. While mobile devices and accompanying apps have become a mainstay of modern computing, the frameworks and patterns utilized in their development make testing and verification particularly difficult. As a step toward helping to measure and ensure the effectiveness of mobile testing practices, we introduce MDroid+, an automated framework for mutation testing of Android apps. MDroid+ includes 38 mutation operators from ten empirically derived types of Android faults and has been applied to generate over 8,000 mutants for more than 50 apps."
Measuring effectiveness of sample-based product-line testing,"['S Ruland', 'L Luthmann', 'J Bürdek', 'S Lity']",,"Recent research on quality assurance (QA) of configurable software systems (e.g., software product lines) proposes different analysis strategies to cope with the inherent complexity caused by the well-known combinatorial-explosion problem. Those strategies aim at improving efficiency of QA techniques like software testing as compared to brute-force configuration-by-configuration analysis. Sampling constitutes one of the most established strategies, defining criteria for selecting a drastically reduced, yet sufficiently diverse subset of software configurations considered during QA. However, finding generally accepted measures for assessing the impact of sample-based analysis on the effectiveness of QA techniques is still an open issue. We address this problem by lifting concepts from single-software mutation testing to configurable software. Our framework incorporates a rich collection of mutation operators for product lines implemented in C to measure mutation scores of samples, including a novel family-based technique for product-line mutation detection. Our experimental results gained from applying our tool implementation to a collection of subject systems confirms the widely-accepted assumption that pairwise sampling constitutes the most reasonable efficiency/effectiveness trade-off for sample-based product-line testing."
Measuring the multiple-condition coverage with test suites for AspectJ programs,['A Zanderink'],x (not found),
Memory mutation testing,"['F Wu', 'J Nanavati', 'M Harman', 'Y Jia', 'J Krinke']",,"Context: Three decades of mutation testing development have given software testers a rich set of mutation operators, yet relatively few operators can target memory faults (as we demonstrate in this paper). Objective: To address this shortcoming, we introduce Memory Mutation Testing, proposing 9 Memory Mutation Operators each of which targets common forms of memory fault. We compare Memory Mutation Operators with traditional Mutation Operators, while handling equivalent and duplicate mutants. Method: We extend our previous workshop paper, which introduced Memory Mutation Testing, with a more extensive and precise analysis of 18 open source programs, including 2 large real-world programs, all of which come with well-designed unit test suites. Specifically, our empirical study makes use of recent results on Trivial Compiler Equivalence (TCE) to identify both equivalent and duplicate mutants. Though the literature on mutation testing has previously deployed various techniques to cater for equivalent mutants, no previous study has catered for duplicate mutants. Results: Catering for such extraneous mutants improves the precision with which claims about mutation scores can be interpreted. We also report the results of a new empirical study that compares Memory Mutation Testing with traditional Mutation Testing, providing evidence to support the claim that traditional mutation testing inadequately captures memory faults; 2% of the memory mutants are TCE-duplicates of traditional mutants and average test suite effectiveness drops by 44% when the target shifts from traditional mutants to memory mutants. Conclusions: Introducing Memory Mutation Operators will cost only a small portion of the overall testing effort, yet generate higher quality mutants compared with traditional operators. Moreover, TCE technique does not only help with reducing testing effort, but also improves the precision of assessment on test quality, therefore should be considered in other Mutation Testing studies."
Model transformation impact on test artifacts: An empirical study,"['A Eriksson', 'B Lindström', 'SF Andler', 'J Offutt']",,"Development environments that support Model-Driven Development often focus on model-level functional testing, enabling verification of design models against their specifications. However, developers of safety-critical software systems are also required to show that tests cover the structure of the implementation. Unfortunately, the implementation structure can diverge from the model depending on choices such as the model compiler or target language. Therefore, structural coverage at the model level may not guarantee coverage of the implementation. We present results from an industrial experiment that demonstrates the model-compiler effect on test artifacts in xtUML models when these models are transformed into C++. Test artifacts, i.e., predicates and clauses, are used to satisfy the structural code coverage criterion, in this case MCDC, which is required by the US Federal Aviation Administration. The results of the experiment show not only that the implementation contains more test artifacts than the model, but also that the test artifacts can be deterministically enumerated during translation. The analysis identifies two major sources for these additional test artifacts."
Most higher mutants are useless for method-level mutation operators using weak mutation.,['BB SOUZA'],,"Mutation analysis is a popular but costly approach to assess the quality of test suites. One of the attempts to reduce the costs associated to mutation analysis is to identify subsuming higher order mutants (HOMs), i.e., mutants that are harder to kill than the first order mutants (FOMs) from which they are constructed. However, it is not known how many HOMs subsume FOMs. In this paper, we use our previous approach, which discovers redundancy in mutations by proving subsumption relations among method-level mutation operators using weak mutation testing, to encode and prove subsumption relations among FOMs and HOMs. We encode a theory of subsumption relations in the Z3 theorem prover for 27 mutation targets (mutations of an expression or statement). We encode 233 FOMS and 438 HOMs and automatically prove a number of subsumption relations using Z3. Our results indicate that 91% of all mutants could be discarded on average. Moreover, 97.5% of all HOMs could be discarded and HOMs compose only 16.67% of the subsuming mutants sets on average."
MuDroid: Mutation testing for Android apps,['Y Wei'],,"With the raising of smartphones, mobile apps become an new emerging paradigm in software development. With 3.4 billion smartphone subscription, the quality of mobile apps become a crucial problem which lead to the need of novel and high quality testing approaches for app developers. Existing testing approaches, such as code coverage based, do not provide an effective way to assess the fault detectability of mobile app tests. The fault-based mutation testing techniques offer a better guideline in improving the fault detection ability. This project aims to design and implement an automated mutation testing system for Android apps at integration level. With this system, Android developers and testers could gauge the quality of their test suites by understanding their fault detection ability. Furthermore, it can provide a guideline for testers to improve their testing as well as improving their implementation. This thesis proposes three novel Android mutation testing techniques and describe the the implementation of MuDroid, an automated mutation testing system for Android apps. We designed six selective operators which generated 3,649 mutants on four real-world Android apps in the empirical study. The innovative screenshot-based killing approach we proposed could kill 40% more mutants on average than traditional crash-based killing approaches. The results also shown that our best cost reduction strategy could reduce on average 80% mutants with only a 7.3% error in average."
Multi-objective integer programming approaches for solving the multi-criteria test-suite minimization problem: Towards sound and complete solutions of a particular …,"['Y Xue', 'YF Li']",,"Test-suite minimization is one key technique for optimizing the software testing process. Due to the need to balance multiple factors, multi-criteria test-suite minimization (MCTSM) becomes a popular research topic in the recent decade. The MCTSM problem is typically modeled as integer linear programming (ILP) problem and solved with weighted-sum single objective approach. However, there is no existing approach that can generate sound (i.e., being Pareto-optimal) and complete (i.e., covering the entire Pareto front) Pareto-optimal solution set, to the knowledge of the authors. In this work, we first prove that the ILP formulation can accurately model the MCTSM problem and then propose the multi-objective integer programming (MOIP) approaches to solve it. We apply our MOIP approaches on three specific MCTSM problems and compare the results with those of the cutting-edge methods, namely, NonlinearFormulation_LinearSolver (NF_LS) and two Multi-Objective Evolutionary Algorithms (MOEAs). The results show that our MOIP approaches can always find sound and complete solutions on five subject programs, using similar or significantly less time than NF_LS and two MOEAs do. The current experimental results are quite promising, and our approaches have the potential to be applied for other similar search-based software engineering problems."
Multi-objective search-based mobile testing,['K Mao'],,"Despite the tremendous popularity of mobile applications, mobile testing still relies heavily on manual testing. This thesis presents mobile test automation approaches based on multi-objective search. We introduce three approaches: Sapienz (for native Android app testing), Octopuz (for hybrid/web JavaScript app testing) and Polariz (for using crowdsourcing to support search-based mobile testing). These three approaches represent the primary scientific and technical contributions of the thesis. Since crowdsourcing is, itself, an emerging research area, and less well understood than search-based software engineering, the thesis also provides the first comprehensive survey on the use of crowdsourcing in software testing (in particular) and in software engineering (more generally). This survey represents a secondary contribution. Sapienz is an approach to Android testing that uses multi-objective search-based testing to automatically explore and optimise test sequences, minimising their length, while simultaneously maximising their coverage and fault revelation. The results of empirical studies demonstrate that Sapienz significantly outperforms both the state-of-the-art technique Dynodroid and the widely-used tool, Android Monkey, on all three objectives. When applied to the top 1,000 Google Play apps, Sapienz found 558 unique, previously unknown crashes. Octopuz reuses the Sapienz multi-objective search approach for automated JavaScript testing, aiming to investigate whether it replicates the Sapienz’ success on JavaScript testing. Experimental results on 10 real-world JavaScript apps provide evidence that Octopuz significantly outperforms the state of the art (and current state of practice) in automated JavaScript testing. Polariz is an approach that combines human (crowd) intelligence with machine (computational search) intelligence for mobile testing. It uses a platform that enables crowdsourced mobile testing from any source of app, via any terminal client, and by any crowd of workers. It generates replicable test scripts based on manual test traces produced by the crowd workforce, and automatically extracts from these test traces, motif events that can be used to improve search-based mobile testing approaches such as Sapienz."
Mutation testing approach to negative testing,['J Strug'],,"Negative testing deals with an important problem of assessing a system ability to handle unexpected situations. Such situations, if unhandled, may lead to system failures that in some cases can have catastrophic consequences. This paper presents a mutation testing-based approach for generation of test cases supporting negative testing. Application of this approach can provide, in a systematic and human-unbiased way, test cases effectively testing wide range of unexpected situations. Thus, it can contribute to improvement of a tested system. The paper formally defines mutation operators used to control the generation process, describes a generic framework for the generation and execution of the test cases, and explains how to interpret results."
Mutation testing for aspect-oriented programs,"['FC Ferrari', 'JC Maldonado']",,"Mutation testing has been shown to be one of the strongest testing criteria for the evaluation of both programs and test suites. Comprehensive sets of mutants require strong test sets to achieve acceptable testing coverage. Moreover, mutation operators are valuable for the evaluation of other testing approaches. Although its importance has been highlighted for aspect-oriented (AO) programs, there is still a need for a suitable set of mutation operators for AO languages. The quality of the mutation testing itself relies on the quality of such operators. This paper presents the design of a set of mutation operators for AspectJ-based programs. These operators model instances of fault types identified in an extensive survey. The fault types and respective operators are grouped according to the related language features. We also discuss the generalisation of the fault types to AO approaches other than AspectJ and the coverage that may be achieved with the application of the proposed operators. In addition, a cost analysis based on two case studies involving real-world applications has provided us feedback on the most expensive operators, which will support the definition of further testing strategies."
Mutation testing for ethereum smart contract,"['H Wu', 'X Wang', 'J Xu', 'W Zou', 'L Zhang']",,"Smart contract is a special program that manages digital assets on blockchain. It is difficult to recover the loss if users make transactions through buggy smart contracts, which cannot be directly fixed. Hence, it is important to ensure the correctness of smart contracts before deploying them. This paper proposes a systematic framework to mutation testing for smart contracts on Ethereum, which is currently the most popular open blockchain for deploying and running smart contracts. Fifteen novel mutation operators have been designed for Ethereum Smart Contracts (ESC), in terms of keyword, global variable/function, variable unit, and error handling. An empirical study on 26 smart contracts in four Ethereum DApps has been conducted to evaluate the effectiveness of mutation testing. The experimental results show that our approach can outperform the coverage-based approach on defect detection rate (96.01% vs. 55.68%). The ESC mutation operators are effective to reveal real defects and we found 117 out of 729 real bug reports are related to our operators. These show the great potential of using mutation testing for quality assurance of ESC."
Mutation testing of functional programming languages,"['D Le', 'MA Alipour', 'R Gopinath', 'A Groce']",,"Mutation testing has been widely studied in imperative programming languages. The rising popularity of functional languages and the adoption of functional idioms in traditional languages (e.g. lambda expressions) requires a new set of studies for evaluating the effectiveness of mutation testing in a functional context. In this paper, we report our ongoing effort in applying mutation testing in functional programming languages. We describe new mutation operators for functional constructs and explain why functional languages might facilitate understanding of mutation testing results. We also introduce MuCheck, our mutation testing tool for Haskell programs."
Mutation testing of smart contracts at scale,"['P Hartel', 'R Schumi']",,"It is crucial that smart contracts are tested thoroughly due to their immutable nature. Even small bugs in smart contracts can lead to huge monetary losses. However, testing is not enough; it is also important to ensure the quality and completeness of the tests. There are already several approaches that tackle this challenge with mutation testing, but their effectiveness is questionable since they only considered small contract samples. Hence, we evaluate the quality of smart contract mutation testing at scale. We choose the most promising of the existing (smart contract specific) mutation operators, analyse their effectiveness in terms of killability and highlight severe vulnerabilities that can be injected with the mutations. Moreover, we improve the existing mutation methods by introducing a novel killing condition that is able to detect a deviation in the gas consumption, i.e., in the monetary value that is required to perform transactions."
Mutation testing: from theory to practice,['A Parsai'],,"The cost of software faults has increased from 59 billion USD in 2002 to 1.7 trillion USD in 2017. To alleviate this cost, the consensus among software engineers is to test as early and as often as possible. This, however, is not adopted by many software development teams. Most often, there are limited resources available for testing compared to the development of a product. Therefore, new techniques and methods are needed to improve testing quality in practice. Currently, most software companies rely on simple coverage metrics to assess the quality of their tests. Yet, the academic literature proposes the use of mutation testing to assess and improve the quality of software tests. Despite the promising results of mutation testing, it is not yet widely adopted in industry. We attribute this to three main problems: the performance overhead, lack of domain knowledge in tool providers, and lack of tool support. In this thesis, we address these three problems. Our results show that it is feasible to adapt the process of mutation testing based on industrial needs."
Novel approach for whole test suite generation using metamorphic relations,"['R Bandaru', 'JA Mayan']",,"Background: The software or an individual program will not get crash by the minute bugs in the code and always manual method for testing the code was not feasible, most of the cases the tester will adds the test oracles to the test cases using the manual method but it is not optimal solution for the large programs and software's and this method can targets only covering the one goal at a time. There is a problem with this coverage goals due to these goals are not independent. Methodology: To get out from these problems we propose a unique approach, in this approach we are generating the test cases automatically and developed an integrated method for program correctness, testing and debugging. Findings: We developed an unique approach in order to solve the oracle problem by using the metamorphic testing this approach also address the automatic debugging this testing uses the synergy algorithm, it does not attempt to traverse the execution tree , instead it attempts to cover all abstract states. Applications/Improvement: With metamorphic relations the system is ideal for medium and large scale applications and this approach also uses the fuzzy logic to provide the result whether the test case pass or fail."
On strong mutation and the theory of subsuming logic‐based mutants,"['B Lindström', 'A Márki']",,"Redundant mutants might cause problems when benchmarking since testing techniques can get high scores without detecting any nonredundant mutants. However, removing nonredundant mutants might cause similar problems. Subsumed mutants are per definition also redundant since no additional tests are required to detect them once all other mutants are detected. We focus on relational operator replacement (ROR) and conditional operator replacement mutants. Subsumption relations between ROR mutants are defined by fault hierarchies. The fault hierarchies are proven for weak mutation but have since they were published been used with strong mutation. We prove that ROR fault hierarchies do not hold for strong mutation and show why. We also show that the probability for a random test to experience the problem can be more than 30% and that 50% of the mutants might be affected in a real software system. Finally, we show that there is a similar problem with the theory on sufficient conditional operator replacement."
On the construction of context-aware test suites,"['H Wang', 'WK Chan', 'TH Tse']",,"Context-aware programs are responsive to various contexts and their changes. A faulty implementation of the context-awareness may lead to misbehavior. Existing techniques do not consider the amount of context changes related to program execution, so that they do not achieve their full potential in exposing faults in context-aware programs. In this paper, we propose to annotate every test case with the amount of its intrinsic context changes, and recommend several strategies that select test cases according to the amounts of context changes whenever an underlying test suite construction procedure provides a choice in test case selection. An experiment shows that the proposal significantly improves the median fault detection rates of the latest techniques for testing context-aware programs."
On the limits of mutation analysis,['R Gopinath'],,"Mutation analysis is the gold standard for evaluating test-suite adequacy. It involves exhaustive seeding of all small faults in a program and evaluating the effectiveness of test suites in detecting these faults. Mutation analysis subsumes numerous structural coverage criteria, approximates fault detection capability of test suites, and the faults produced by mutation have been shown to be similar to the real faults. This dissertation looks at the effectiveness of mutation analysis in terms of its ability to evaluate the quality of test suites, and how well the mutants generated emulate real faults. The effectiveness of mutation analysis hinges on its two fundamental hypotheses: The competent programmer hypothesis, and the coupling effect. The competent programmer hypothesis provides the model for the kinds of faults that mutation operators emulate, and the coupling effect provides guarantees on the ratio of faults prevented by a test suite that detects all simple faults to the complete set of possible faults. These foundational hypotheses determine the limits of mutation analysis in terms of the faults that can be prevented by a mutation adequate test suite. Hence, it is important to understand what factors affect these assumptions, what kinds of faults escape mutation analysis, and what impact interference between faults (coupling and masking) have. A secondary concern is the computational footprint of mutation analysis. Mutation analysis requires the evaluation of numerous mutants, each of which potentially requires complete test runs to evaluate. Numerous heuristic methods exist to reduce the number of mutants that need to be evaluated. However, we do not know the effect of these heuristics on the quality of mutants thus selected. Similarly, whether the possible improvement in representation using these heuristics are subject to any limits have also not been studied in detail. Our research investigates these fundamental questions in mutation analysis both empirically and theoretically. We show that while a majority of faults are indeed small, and hence within a finite neighborhood of the correct version, their size is larger than typical mutation operators. We show that strong interactions between simple faults can produce complex faults that are semantically unrelated to the component faults, and hence escape first order mutation analysis. We further validate the coupling effect for a large number of real-world faults, provide theoretical support for fault coupling, and evaluate its theoretical and empirical limits. Finally, we investigate the limits of heuristic mutation reduction strategies in comparison with random sampling in representativeness and find that they provide at most limited improvement. These investigations underscore the importance of research into new mutation operators and show that the potential benefit far outweighs the perceived drawbacks in terms of computational cost."
