Title,Authors,Published,DOI,Published_In,Referenced_By
Does code coverage provide a good stopping rule for operational profile based testing?,"Breno, Antonia",2016,10.1145/2896921.2896934,Proceedings of the 11th International Workshop on Automation of Software Test - AST '16,
"Dominators, Super Blocks, and Program Coverage","Agrawal, H.",1994-01,,Proceedings of the 21st ACM SIGPLAN-SIGACT symposium on Principles of programming languages  - POPL '94,RealesMateo2013
Early estimation of software quality using in-process testing metrics: a controlled case study,"Nagappan, N. and Vouk, M.A. and Osborne, J.A.",2005,,,Bowes2017
Eclat: Automatic generation and classification of test inputs,"Pacheco, C. and Ernst, M.D.",2005-07,,"ECOOP 2005 - Object-Oriented Programming, Lecture Notes in Computer Science",Robinson2011
Edroid: A mutation tool for android apps,"Luna, E. and Ariss, O.El",2018,,2018 6th International Conference in Software Engineering Research and Innovation (CONISOFT),EscobarVelasquez2019
Effect of test set minimization on fault detection effectiveness,"W. Eric, Joseph R., Saul, Aditya P.",1995,10.1145/225014.225018,Proceedings of the 17th international conference on Software engineering  - ICSE '95,
Effect of test set size and block coverage on the fault detection effectiveness,"W.E., J.R., S., A.P.",,10.1109/ISSRE.1994.341379,Proceedings of 1994 IEEE International Symposium on Software Reliability Engineering,
Effective Unit Testing: A guide for Java developers,"Koskela, L.",2013,,,Bowes2017
Effective fault localization via mutation analysis,"Mike, Yves",2014-3-24,10.1145/2554850.2554978,Proceedings of the 29th Annual ACM Symposium on Applied Computing,
Effective random testing of concurrent programs,"Sen, K.",2007,,,Sherman2009
Effective test generation and adequacy assessment for JavaScript-based web applications,"Mirshokraie, S.",2014,,Proceedings of the 2014 International Symposium on Software Testing and Analysis - ISSTA 2014,McMinn2019
Efficiency of Mutation Operators and Selective Mutation Strategies: An Empirical Study,"Mresa, E. and Bottaci, L.",1999-12,,"Software Testing, Verification and Reliability",RealesMateo2013
Efficiency of mutation operators and selective mutation strategies: An empirical study,"Mresa, E.S. and Bottaci, L.",1999,,"Software Testing, Verification and Reliability",Lindstroem2016
Efficiency of mutation operators and selective mutation strategies: an empirical study,"Elfurjani S., Leonardo",1999-12,10.1002/(SICI)1099-1689(199912)9:4<205::AID-STVR186>3.0.CO;2-X,"Software Testing, Verification and Reliability",
Efficient Guiding Strategies for Testing of Temporal Properties of Hybrid Systems,"Tommaso, Thao, Alexandre, James, Xiaoqing, Jyotirmoy V.",2015,10.1007/978-3-319-17524-9_10,"Lecture Notes in Computer Science, NASA Formal Methods",
Efficient Multi-Objective Higher Order Mutation Testing with Genetic Programming,"Langdon, W. and Harman, M. and Jia, Y.",2010,,,RealesMateo2013
Efficient multi-objective higher order mutation testing with genetic programming,"William B., Mark, Yue",2010-12,10.1016/j.jss.2010.07.027,Journal of Systems and Software,
Efficient mutation analysis by propagating and partitioning infected execution states,"René, Michael D., Gordon",2014,10.1145/2610384.2610388,Proceedings of the 2014 International Symposium on Software Testing and Analysis - ISSTA 2014,
Efficient mutation analysis of relational database structure using mutant schemata and parallelisation,"Wright, C.J. and Kapfhammer, G.M. and McMinn, P.",2013,,"2013 IEEE Sixth International Conference on Software Testing, Verification and Validation Workshops",McMinn2019
Efficient mutation analysis: A new approach,"Fleyshgakker, V.N. and Weiss, S.N.",1994,,,Just2014a
Efficient mutation testing by checking invariant violations,"David, Valentin, Andreas",2009,10.1145/1572272.1572282,Proceedings of the eighteenth international symposium on Software testing and analysis - ISSTA '09,
Efficient mutation testing using whole test suite generation,"Fraser, G. and Arcuri, A.",2014,,,Just2014a
Efficient unit test case minimization,"Andreas, Manuel, Andreas, Ilinca, Bertrand",2007,10.1145/1321631.1321698,Proceedings of the twenty-second IEEE/ACM international conference on Automated software engineering  - ASE '07,
Empirical evaluation of the statement deletion mutation operator,"Deng, L. and Offutt, A.J. and Li, N.",2013,,"2013 IEEE Sixth International Conference on Software Testing, Verification and Validation",Gopinath2017a
Empirical evaluation of the textual differencing regression testing technique,"Vokolos, Filippos I. and Frankl, Phyllis G.",1998,,Proceedings. International Conference on Software Maintenance (Cat. No. 98CB36272),Harder2003
Empirical evaluation on fbd model-based test coverage criteria using mutation analysis,"Shin, D. and Jee, E. and Bae, D.-H.",2012,,"Model Driven Engineering Languages and Systems, Lecture Notes in Computer Science",Zhu2018
Empirical studies of a safe regression test selection technique,"G., M.J.",1998-6,10.1109/32.689399,IEEE Transactions on Software Engineering,
Empirical studies of test-suite reduction,"Gregg, Mary Jean, Jeffery, Christie",2002,10.1002/stvr.256,"Software Testing, Verification and Reliability",
Empirical study of correlation between mutation score and model inference based test suite adequacy assessment,"Felbinger, H. and Wotawa, F. and Nica, M.",2016,,Proceedings of the 11th International Workshop on Automation of Software Test - AST '16,Felbinger2017
Employing second-order mutation for isolating first-order equivalent mutants,"Marinos, Mike, Nicos",2014-4-21,10.1002/stvr.1529,"Software Testing, Verification and Reliability",
Emulation of software faults by educated mutations at machine-code level,"J., H.",,10.1109/ISSRE.2002.1173283,"13th International Symposium on Software Reliability Engineering, 2002. Proceedings.",
Enabling mutation testing for android apps,"Linares-Vásquez, M. and Bavota, G. and Tufano, M. and Moran, K. and Penta, M.Di and Vendome, C. and Bernal-Cárdenas, C. and Poshyvanyk, D.",2017,,,EscobarVelasquez2019
Establishing Theoretical Minimal Sets of Mutants,"Paul, Marcio Eduardo, Jeff",2014-3,10.1109/ICST.2014.13,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation",
Establishing Theoretical Minimal Sets of Mutants”,"Ammann, P. and Delamaro, M.E. and Offutt, J.",2014,,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation",Parsai2016
Establishing Traceability Links between Unit Test Cases and Units under Test,"Bart Van, Serge",2009,10.1109/CSMR.2009.39,2009 13th European Conference on Software Maintenance and Reengineering,
Establishing theoretical minimal sets of mutants,"Ammann, P. and Delamaro, M.E. and Offutt, J.",2014,,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation",Lindstroem2016
Establishing traceability links between unit test cases and units under test,"Rompaey, B.V. and Demeyer, S.",2009-03,,2009 13th European Conference on Software Maintenance and Reengineering,Gergely2018
Evaluating Mutation Testing Alternatives: A Collateral Experiment,"Marinos, Mike, Nicos",2010-11,10.1109/APSEC.2010.42,2010 Asia Pacific Software Engineering Conference,
Evaluating Mutation Testing Alternatives: A Collateral Experiment”,"Kintis, M. and Papadakis, M. and Malevris, N.",2010,,2010 Asia Pacific Software Engineering Conference,Parsai2016
Evaluating Random Mutant Selection at Class-level in Projects with Non-adequate Test Suites”,"Parsai, A. and Murgia, A. and Demeyer, S.",2016,,Proceedings of the 20th International Conference on Evaluation and Assessment in Software Engineering,Parsai2016
Evaluating advantages of test driven development: A controlled experiment with professionals,"Canfora, G. and Cimitile, A. and Garcia, F. and Piattini, M. and Visaggio, C.A.",2006,,,Kracht2014
Evaluating non-adequate test-case reduction,"Mohammad Amin, August, Rahul, Darko, Alex",2016-8-25,10.1145/2970276.2970361,Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering,
Evaluating test suites and adequacy criteria using simulation-based models of distributed systems,"Rutherford, M.J. and Carzaniga, A. and Wolf, A.L.",2008,,IEEE Transactions on Software Engineering,Tengeri2016
Evaluating testing methods by delivered reliability,"Frankl, Phyllis G. and Hamlet, Richard G. and Littlewood, Bev and Strigini, Lorenzo",1998-08,,,Harder2003
Evaluating testing methods by delivered reliability [software],"P.G., R.G., B., L.",1998,10.1109/32.707695,IEEE Transactions on Software Engineering,
Evaluating the Effects of Compiler Optimizations on Mutation Testing at the Compiler IR Level,"Farah, August, Hayes, Sarfraz, Darko",2016-10,10.1109/ISSRE.2016.51,2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE),
Evaluating the efficacy of test-driven development,"Thirumalesh, Nachiappan",2006,10.1145/1159733.1159787,Proceedings of the 2006 ACM/IEEE international symposium on International symposium on empirical software engineering  - ISESE '06,
Evaluation of the cost of alternate mutation strategies,"Mathur, A.P. and Wong, W.E.",1993,,,Gopinath2017a
EvoSuite: Automatic test suite generation for object-oriented software,"Fraser, G. and Arcuri, A.",2011,,,Just2014a
EvoSuite: automatic test suite generation for object-oriented software,"Fraser, G. and Arcuri, A.",2011,,,Rojas2017
EvoSuite: automatic test suite generation for object-oriented software”,"Fraser, G. and Arcuri, A.",2011,,,Godio2019
Evolutionary Generation of Whole Test Suites,"Gordon, Andrea",2011-7,10.1109/QSIC.2011.19,2011 11th International Conference on Quality Software,
Evolutionary test environment for automatic structural testing,"Joachim, Andre, Harmen",2001-12,10.1016/S0950-5849(01)00190-2,Information and Software Technology,
Experiments of the Effectiveness of Dataflow- and Controlflow-Based Test Adequacy Criteria,"Hutchins, M. and Foster, H. and Goradia, T. and Ostrand, T.",1994,,Proceedings of 16th International Conference on Software Engineering,RealesMateo2013
Experiments of the effectiveness of dataflow- and controlflow-based test adequacy criteria,"Hutchins, M. and Foster, H. and Goradia, T. and Ostrand, T.",1994,,Proceedings of 16th International Conference on Software Engineering,Felbinger2017
Experiments of the effectiveness of dataflow-and controlflow-based test adequacy criteria,"Hutchins, M. and Foster, H. and Goradia, T. and Ostrand, T.",1994,,Proceedings of 16th International Conference on Software Engineering,Lindstroem2016
Experiments on the effectiveness of dataflow- and control-flow-based test adequacy criteria,"M., H., T., T.",,10.1109/ICSE.1994.296778,Proceedings of 16th International Conference on Software Engineering,
Experiments on the effectiveness of dataflow- and controlflow-based test adequacy criteria,"Hutchins, Monica and Foster, Herb and Goradia, Tarak and Ostrand, Thomas","May 16–21, 1994",,Proceedings of 16th International Conference on Software Engineering,Harder2003
Exploring the composition of unit test suites,"Bart, Serge",2008-9,10.1109/ASEW.2008.4686316,2008 23rd IEEE/ACM International Conference on Automated Software Engineering - Workshops,
Exploring variability-aware execution for testing plugin-based web applications,"Hung Viet, Christian, Tien N.",2014-5-31,10.1145/2568225.2568300,Proceedings of the 36th International Conference on Software Engineering,
EzUnit: A Framework for Associating Failed Unit Tests with Potential Programming Errors,"Philipp, Jens, Nils, Friedrich",,10.1007/978-3-540-73101-6_14,"Lecture Notes in Computer Science, Agile Processes in Software Engineering and Extreme Programming",
Ezunit: A framework for associating failed unit tests with potential programming errors,"Bouillon, Philipp and Krinke, Jens and Meyer, Nils and Steimann, Friedrich",2007,,"Lecture Notes in Computer Science, Agile Processes in Software Engineering and Extreme Programming",Gergely2018
Factors Limiting Industrial Adoption of Test Driven Development: A Systematic Review,"Adnan, Daniel, Sasikumar",2011-3,10.1109/ICST.2011.19,"2011 Fourth IEEE International Conference on Software Testing, Verification and Validation",
Fairness testing: testing software for discrimination,"Sainyam, Yuriy, Alexandra",2017-8-21,10.1145/3106237.3106277,Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,
Faster mutation analysis via equivalence modulo states,"Bo, Yingfei, Yangqingwei, Lu, Dan",2017-7-10,10.1145/3092703.3092714,Proceedings of the 26th ACM SIGSOFT International Symposium on Software Testing and Analysis,
Faster mutation testing inspired by test prioritization and reduction,"Lingming, Darko, Sarfraz",2013-7-15,10.1145/2483760.2483782,Proceedings of the 2013 International Symposium on Software Testing and Analysis,
Fault classes and error detection capability of specification-based testing,"Kuhn, D.R.",1999-10,,,Felbinger2017
Fault localization based on information flow coverage,Wes,2009-5-11,10.1002/stvr.409,"Software Testing, Verification and Reliability",
Fault-based testing of database application programs with conceptual data model,"Chan, W.K. and Cheung, S.C. and Tse, T.H.",2005,,Fifth International Conference on Quality Software (QSIC'05),McMinn2019
Featured model-based mutation analysis,"Xavier, Gilles, Mike, Axel, Pierre-Yves, Patrick",2016-5-14,10.1145/2884781.2884821,Proceedings of the 38th International Conference on Software Engineering,
Feedback-Directed Random Test Generation,"Carlos, Shuvendu K., Michael D., Thomas",2007-5,10.1109/ICSE.2007.37,29th International Conference on Software Engineering (ICSE'07),
Feedback-directed random test generation,"Pacheco, C. and Lahiri, S.K. and Ernst, M.D. and Ball, T.",2007,,29th International Conference on Software Engineering (ICSE'07),Rojas2017
Feedback-directed random test generation”,"Pacheco, C. and Lahiri, S.K. and Ernst, M.D. and Ball, T.",2007,,29th International Conference on Software Engineering (ICSE'07),Godio2019
Fiat-fault injection based automated testing environment,"Segall, Z. and Vrsalovic, D. and Siewiorek, D. and Ysskin, D. and Kownacki, J. and Barton, J. and Dancey, R. and Robinson, A. and Lin, T.",1988,,[1988] The Eighteenth International Symposium on Fault-Tolerant Computing. Digest of Papers,Zhu2018
Field-Exhaustive Testing”,"Ponzio, P. and Aguirre, N. and Frias, M. and Visser, W.",2016,,,Godio2019
Finding bugs by isolating unit tests,"Muşlu, K. and Soran, B. and Wuttke, J.",2011-09,,Proceedings of the 19th ACM SIGSOFT symposium and the 13th European conference on Foundations of software engineering - SIGSOFT/FSE '11,Robinson2011
Finding errors in .NET with feedback-directed random testing,"Pacheco, C. and Lahiri, S.K. and Ball, T.",2008-07,,Proceedings of the 2008 international symposium on Software testing and analysis - ISSTA '08,Robinson2011
Finding sufficient mutation operators via variable reduction,"Namin, A.S. and Andrews, J.H.",2006,,Second Workshop on Mutation Analysis (Mutation 2006 - ISSRE Workshops 2006),Gopinath2017a
Foundations of Software Testing,"Mathur, A.P.",2008,,Proceedings of the 2nd ACM SIGSOFT symposium on Foundations of software engineering  - SIGSOFT '94,Sherman2009
Foundations of Software Testing: Fundamental Algorithms and Techniques,"Mathur, A.P.",2008,,Choice Reviews Online,Zhi2013
Fragment class analysis for testing of polymorphism in java software,"Rountev, A. and Milanova, A. and Ryder, B.G.",2004,,"25th International Conference on Software Engineering, 2003. Proceedings.",Sherman2009
"From Weak to Strong, Dead or Alive? An Analysis of Some Mutation Testing Issues","Woodward, M.R. and Halewood, K.",1988,,"[1988] Proceedings. Second Workshop on Software Testing, Verification, and Analysis",Inozemtseva2013
"From weak to strong, dead or alive? an analysis of some mutation testing issues","M.R., K.",,10.1109/WST.1988.5370,"[1988] Proceedings. Second Workshop on Software Testing, Verification, and Analysis",
Further empirical studies of test effectiveness,"Phyllis G., Oleg",1998,10.1145/288195.288298,Proceedings of the 6th ACM SIGSOFT international symposium on Foundations of software engineering  - SIGSOFT '98/FSE-6,
GRT: Program-Analysis-Guided Random Testing (T),"Lei, Cyrille, Cheng, Hiroyuki, Johannes, Rudolf",2015-11,10.1109/ASE.2015.49,2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),
GenRed: A Tool for Generating and Reducing Object-Oriented Test Cases,"Hojun, Kai-Shin, Carl K.",2010-7,10.1109/COMPSAC.2010.19,2010 IEEE 34th Annual Computer Software and Applications Conference,
Generalized symbolic execution for model checking and testing”,"S. Khurshid, C. Păsăreanu and Visser, W.",2003,,,Godio2019
Generating TCP/UDP network data for automated unit test generation,"Arcuri, A. and Fraser, G. and Galeotti, J.P.",2015,,Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,Wang2017
Generating program inputs for database application testing,"Pan, K. and Wu, X. and Xie, T.",2011,,2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011),McMinn2019
Generating software test data by evolution,"C.C., G., M.A.",2001,10.1109/32.988709,IEEE Transactions on Software Engineering,
Generating test cases from formal specifications,"Toth, Kalman C. and Donat, Michael R. and Joyce, Jeffrey J.",1996-07,,,Harder2003
Generating test data from SOFL specifications,"Offutt, A.Jefferson and Liu, Shaoying",1999-12,,Journal of Systems and Software,Harder2003
Gerard. xUnit test patterns: Refactoring test code,Meszaros,2007,,,Gergely2018
Guidelines for Coverage-Based Comparisons of Non-Adequate Test Suites,"Milos, Alex, Chaoqiang, Rohan, Mohammad Amin, Darko",2015-9-2,10.1145/2660767,ACM Transactions on Software Engineering and Methodology,
HOMAJ: A Tool for Higher Order Mutation Testing in AspectJ and Java,"Elmahdi, Sudipto, Darrell",2014-3,10.1109/ICSTW.2014.19,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation Workshops",
Helping students appreciate test-driven development (TDD),"Jaime, William",2006,10.1145/1176617.1176743,"Companion to the 21st ACM SIGPLAN conference on Object-oriented programming systems, languages, and applications  - OOPSLA '06",
Helping students appreciate test-driven development (tdd,"Spacco, J. and Pugh, W.",2006,,"Companion to the 21st ACM SIGPLAN conference on Object-oriented programming systems, languages, and applications  - OOPSLA '06",Aaltonen2010
Heuristics for Determining Equivalence of Program Mutations,"Baldwin, D. and Sayward, F.G.",1979,,,RealesMateo2013
"Heuristics for Determining Equivalence of Program Mutations, ser. Department of Computer Science: Research report","Baldwin, D. and Sayward, F.",1979,,,Holling2016
Heuristics for Determining Equivalence of Program Mutations.,"Douglas, Frederick",1979-4-1,10.21236/ADA071795,,
Heuristics for Scalable Dynamic Test Generation,"Jacob, Koushik",2008-9,10.1109/ASE.2008.69,2008 23rd IEEE/ACM International Conference on Automated Software Engineering,
Heuristics for determining equivalence of program mutations,"Baldwin, D. and Sayward, F.G.",1979,,,Just2014a
High performance software testing on SIMD machines,"E.W., A.P., V.J.",1991-5,10.1109/32.90444,IEEE Transactions on Software Engineering,
High-performance mutation testing,"Byoungju, C. and Mathur, A.P.",1993,,,McMinn2019
Higher Order Mutation Testing,"Yue, Mark",2009-10,10.1016/j.infsof.2009.04.016,Information and Software Technology,
Higher Order Mutation Testing”,"Jia, Y. and Harman, M.",2009,,,Parsai2016
Higher accuracy and lower run time: efficient mutation analysis using non-redundant mutation operators,"Just, R. and Schweiggert, F.",2014,,"Software Testing, Verification and Reliability",Lindstroem2016
Higher accuracy and lower runtime: Efficient mutation analysis using non-redundant mutation operators,"Just, R. and Schweiggert, F.",2014,,"Software Testing, Verification and Reliability",Just2014a
Higher order mutation testing,"Jia, Y. and Harman, M.",2009,,,Just2014a
Hints on Test Data Selection: Help for the Practicing Programmer,"R.A., R.J., F.G.",1978-4,10.1109/C-M.1978.218136,Computer,
Hints on Test Data Selection: Help for the Practicing Programmer”,"DeMillo, R.A. and Lipton, R.J. and Sayward, F.G.",1978-04,,Computer,Parsai2016
Hints on test data selection: Help for the practicing programmer,"DeMillo, R.A. and Lipton, R.J. and Sayward, F.G.",1978,,Computer,Lindstroem2016
How Do Assertions Impact Coverage-Based Test-Suite Reduction?,"Junjie, Yanwei, Dan, Lingming, Lu, Bing",2017-3,10.1109/ICST.2017.45,"2017 IEEE International Conference on Software Testing, Verification and Validation (ICST)",
"How hard does mutation analysis have to be, anyway?","Rahul, Amin, Iftekhar, Carlos, Alex",2015-11,10.1109/ISSRE.2015.7381815,2015 IEEE 26th International Symposium on Software Reliability Engineering (ISSRE),
How to Overcome the Equivalent Mutant Problem and Achieve Tailored Selective Mutation Using Co-evolution,"Konstantinos, Mark, Robert M.",2004,10.1007/978-3-540-24855-2_155,"Genetic and Evolutionary Computation – GECCO 2004, Lecture Notes in Computer Science",
How to misuse code coverage,"Marick, B.",1999,,,Aaltonen2010
How to overcome the equivalent mutant problem and achieve tailored selective mutation using co-evolution,"Adamopoulos, K. and Harman, M. and Hierons, R.M.",2004,,"Genetic and Evolutionary Computation – GECCO 2004, Lecture Notes in Computer Science",Just2014a
Improving automation in developer testing: State of the practice,"Xie, T.",2009,,,Kracht2014
Improving generation of object-oriented test suites by avoiding redundant tests,"Xie, T. and Marinov, D. and Notkin, D.",2004-01,,,Xie2006
Improving logic-base testing,"Kaminski, G. and Amman, P. and Offutt, J.",2013,,,Lindstroem2016
Improving search-based test suite generation with dynamic symbolic execution,"Galeotti, J.P. and Fraser, G. and Arcuri, A.",2013,,2013 IEEE 24th International Symposium on Software Reliability Engineering (ISSRE),Rojas2017
Improving student performance by evaluating how well students test their own programs,Stephen H.,2003-9,10.1145/1029994.1029995,Journal on Educational Resources in Computing,
Improving test generation under rich contracts by tight bounds and incremental SAT solving”,"Abad, P. and Aguirre, N. and Bengolea, V. and Ciolek, D. and Frias, M.F. and Galeotti, J.P. and Maibaum, T. and Moscato, M. and Rosner, N. and Vissani, I.",2013,,"2013 IEEE Sixth International Conference on Software Testing, Verification and Validation",Godio2019
Improving test suites for efficient fault localization,"Benoit, Franck, Yves",2006-5-28,10.1145/1134285.1134299,Proceedings of the 28th international conference on Software engineering,
Improving test suites via generated specifications,"Harder, Michael",2002-06-04,,,Harder2003
Improving test suites via operational abstraction,"M., J., M.D.",2003,10.1109/ICSE.2003.1201188,"25th International Conference on Software Engineering, 2003. Proceedings.",
In-parameter-order: A test generation strategy for pairwise testing,"Lei, Y. and Tai, K.-C.",1998,,Proceedings Third IEEE International High-Assurance Systems Engineering Symposium (Cat. No.98EX231),Felbinger2017
Inductive inference and software testing,"Hong, Patrick, John",1992-7,10.1002/stvr.4370020204,"Software Testing, Verification and Reliability",
Inferring mutant utility from program context,"René, Bob, Paul",2017-7-10,10.1145/3092703.3092732,Proceedings of the 26th ACM SIGSOFT International Symposium on Software Testing and Analysis,
Infrastructure Support for Controlled Experimentation with Software Testing and Regression Testing Techniques,"Do, H. and Elbaum, S. and Rothermel, G.",2004-08,,"Proceedings. 2004 International Symposium on Empirical Software Engineering, 2004. ISESE '04.",RealesMateo2013
Inspecting automated test code: a preliminary study,"Lanubile, F. and Mallardo, T.",2007,,"Lecture Notes in Computer Science, Agile Processes in Software Engineering and Extreme Programming",Bowes2017
Integrating Techniques and Tools for Testing Automation,"Polo, M. and Piattini, M. and Tendero, S.",2007,,"Software Testing, Verification and Reliability",RealesMateo2013
Interaction testing of highly-configurable systems in the presence of constraints,"Cohen, M.B. and Dwyer, M.B. and Shi, J.",2007,,Proceedings of the 2007 international symposium on Software testing and analysis - ISSTA '07,Felbinger2017
Interface Mutation,"Ghosh, S. and Mathur, A.P.",2001,,Mutation Testing for the New Century,RealesMateo2013
Introduction to Software Testing,"Paul, Jeff",2016-12-13,10.1017/9781316771273,,
Introduction to software testing,"Ammann, P. and Offutt, J.",2008,,,Lindstroem2016
Introduction to software testing”,"Ammann, P. and Offutt, J.",2008,,,Godio2019
Invariant-based automatic testing of modern web applications,"Mesbah, A. and Deursen, A. and Roest, D.",2012,,IEEE Transactions on Software Engineering,Mirzaaghaei2014
Investigating the correlation between mutation score and coverage score,"Assylbekov, B. and Gaspar, E. and Uddin, N. and Egan, P.",2013,,2013 UKSim 15th International Conference on Computer Modelling and Simulation,Kracht2014
Investigations of the Software Testing Coupling Effect,"Offutt, A.J.",1992,,ACM Transactions on Software Engineering and Methodology,RealesMateo2013
Investigations of the Software Testing Coupling Effect”,"Offutt, A.J.",1992-01,,ACM Transactions on Software Engineering and Methodology,Parsai2016
Investigations of the software testing coupling effect,A. Jefferson,1992-1-2,10.1145/125489.125473,ACM Transactions on Software Engineering and Methodology,
Ipog/ipog-d: efficient test generation for multi-way combinatorial testing,"Lei, Y. and Kacker, R. and Kuhn, R.D. and Okun, V. and Lawrence, J.",2008,,"Software Testing, Verification and Reliability",Felbinger2017
Ipog: A general strategy for t-way software testing,"Lei, Y. and Kacker, R. and Kuhn, D.R. and Okun, V. and Lawrence, J.",2007,,14th Annual IEEE International Conference and Workshops on the Engineering of Computer-Based Systems (ECBS'07),Felbinger2017
Is Branch Coverage a Good Measure of Testing Effectiveness?” in Empirical Software Engineering and Verification,"Wei, Y. and Meyer, B. and Oriol, M.",2012,,,Bowes2017
Is Operator-Based Mutant Selection Superior to Random Mutant Selection?,"Zhang, L. and Hou, S.-S. and Hu, J.-J. and Xie, T. and Mei, H.",2010,,Proceedings of the 32nd ACM/IEEE International Conference on Software Engineering - ICSE '10,Inozemtseva2013
Is branch coverage a good measure of testing effectiveness?,"Wei, Y. and Meyer, B. and Oriol, M.",2012,,"Empirical Software Engineering and Verification, Lecture Notes in Computer Science",Mirzaaghaei2014
Is mutation an appropriate tool for testing experiments?,"J. H., L. C., Y.",2005,10.1145/1062455.1062530,Proceedings of the 27th international conference on Software engineering  - ICSE '05,
Is mutation an appropriate tool for testing experiments? [software testing]”,"Andrews, J. and Briand, L. and Labiche, Y.",2005-05,,,Parsai2016
Is operator-based mutant selection superior to random mutant selection?,"Lu, Shan-Shan, Jun-Jue, Tao, Hong",2010,10.1145/1806799.1806863,Proceedings of the 32nd ACM/IEEE International Conference on Software Engineering - ICSE '10,
Isolating First Order Equivalent Mutants via Second Order Mutation,"Marinos, Mike, Nicos",2012-4,10.1109/ICST.2012.160,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",
Isolating First Order Equivalent Mutants via Second Order Mutation”,"Kintis, M. and Papadakis, M. and Malevris, N.",2012,,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",Parsai2016
It Does Matter How You Normalise the Branch Distance in Search Based Software Testing,Andrea,2010,10.1109/ICST.2010.17,"2010 Third International Conference on Software Testing, Verification and Validation",
JCrasher: An automatic robustness tester for java,"Csallner, C. and Smaragdakis, Y.",2004,,Software: Practice and Experience,Kracht2014
JCrasher: an automatic robustness tester for Java,"Christoph, Yannis",2004-8-11,10.1002/spe.602,Software: Practice and Experience,
JDAMA: Java database application mutation analyser,"Zhou, C. and Frankl, P.",2011,,"Software Testing, Verification and Reliability",McMinn2019
Jartege: A tool for random generation of unit tests for Java classes,"Oriat, C.",2005-09,,"Lecture Notes in Computer Science, Quality of Software Architectures and Software Quality",Robinson2011
Javalanche: Efficient mutation testing for Java,"Schuler, D. and Zeller, A.",2009,,,Just2014a
Javalanche: Efficient mutation testing for java,"Schuler, D. and Zeller, A.",2009-08,,,Gopinath2017a
Javalanche: efficient mutation testing for Java,"Schuler, D. and Zeller, A.",2009,,,Zhang2013
Javalanche: efficient mutation testing for java,"Schuler, D. and Zeller, A.",2009,,,Aaltonen2010
Jtest manuals version 4.5,Parasoft,2003-04,,,Xie2006
Judy - a mutation testing tool for Java,"Madeyski, L. and Radyk, N.",2010-02,,IET Software,Daoudagh2015
Judy – a mutation testing tool for Java,"L., N.",2010,10.1049/iet-sen.2008.0038,IET Software,
Jumble Java Byte Code to Measure the Effectiveness of Unit Tests,"Sean A., Tin, Leonard, John G., Stuart, Mark",2007-9,10.1109/TAIC.PART.2007.38,Testing: Academic and Industrial Conference Practice and Research Techniques - MUTATION (TAICPART-MUTATION 2007),
KLEE: Unassisted and automatic generation of high-coverage tests for complex systems programs,"Cadar, C. and Dunbar, D. and Engler, D.",2008,,,Wang2017
Killing strategies for model-based mutation testing,"Bernhard K., Harald, Elisabeth, Willibald, Rupert, Stefan",2014-2-3,10.1002/stvr.1522,"Software Testing, Verification and Reliability",
Klee: Unassisted and automatic generation of high-coverage tests for complex systems programs,"Cadar, C. and Dunbar, D. and Engler, D.",2008,,,Holling2016
Korat: Automated testing based on Java predicates”,"Boyapati, C. and Khurshid, S. and Marinov, D.",2002,,,Godio2019
Leveraging a commercial mutation analysis tool for research,"Hampton, M. and Petithomme, S.",2007,,Testing: Academic and Industrial Conference Practice and Research Techniques - MUTATION (TAICPART-MUTATION 2007),Just2014a
Leveraging field data for impact analysis and regression testing,"Orso, A. and Apiwattanapong, T. and Harrold, M.J.",2003-09,,ACM SIGSOFT Software Engineering Notes,Wang2017
Lightweight Automated Testing with Adaptation-Based Programming,"Alex, Alan, Jervis, Tim, Amin, Martin, Camden",2012-11,10.1109/ISSRE.2012.1,2012 IEEE 23rd International Symposium on Software Reliability Engineering,
MAJOR: An efficient and extensible tool for mutation analysis in a Java compiler,"Rene, Franz, Gregory M.",2011-11,10.1109/ASE.2011.6100138,2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011),
MAJOR: An efficient and extensible tool for mutation analysis in a java compiler,"Just, R. and Schweiggert, F. and Kapfhammer, G.M.",2011,,2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011),Wang2017
MEDIC: A static analysis framework for equivalent mutant identification,"Kintis, M. and Malevris, N.",2015,,Information and Software Technology,McMinn2019
MESSI: Mutant Evaluation by Static Semantic Interpretation,"Matthew, Manuel, John A.",2012-4,10.1109/ICST.2012.161,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",
