Title,Abstract,Authors,Published,Published_In
Evaluating different strategies for reduction of mutation testing costs,"Mutation testing presents high efficacy in terms of revealed faults, but with high computational costs, because test cases must be executed against a great number of mutants. To reduce such costs several strategies exist. In general, they select a reduced","['JAP Lima', 'G Guizzo', 'SR Vergilio', 'APC Silva']",2016,Proceedings of the 1st Brazilian Symposium on Systematic and Automated Software Testing - SAST
Evaluating fuzz testing,"Fuzz testing has enjoyed great success at discovering security critical bugs in real software. Recently, researchers have devoted significant effort to devising new fuzzing techniques, strategies, and algorithms. Such new ideas are primarily evaluated experimentally so an","['G Klees', 'A Ruef', 'B Cooper', 'S Wei', 'M Hicks']",2018,
Evaluating non-adequate test-case reduction,"Given two test cases, one larger and one smaller, the smaller test case is preferred for many purposes. A smaller test case usually runs faster, is easier to understand, and is more convenient for debugging. However, smaller test cases also tend to cover less code and","['MA Alipour', 'A Shi', 'R Gopinath']",2016,Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering
Evaluating random mutant selection at class-level in projects with non-adequate test suites,"Mutation testing is a standard technique to evaluate the quality of a test suite. Due to its computationally intensive nature, many approaches have been proposed to make this technique feasible in real case scenarios. Among these approaches, uniform random mutant","['A Parsai', 'A Murgia', 'S Demeyer']",2016,Proceedings of the 20th International Conference on Evaluation and Assessment in Software Engineering
Evaluating software testing techniques: a systematic mapping study,"Software testing techniques are crucial for detecting faults in software and reducing the risk of using it. As such, it is important that we have a good understanding of how to evaluate these techniques for their efficiency, scalability, applicability, and effectiveness at finding",['M Mayeda'],2019,Advances in Computers
Evaluating symbolic execution-based test tools,"In recent years several symbolic execution-based tools have been developed to automatically select relevant test inputs from the source code of the system under test. However, each of these tools has different advantages, and there is no detailed feedback","['L Cseppento', 'Z Micskei']",2015,"2015 IEEE 8th International Conference on Software Testing, Verification and Validation (ICST)"
Evaluating test suites and adequacy criteria using simulation-based models of distributed systems,"Test adequacy criteria provide the engineer with guidance on how to populate test suites. While adequacy criteria have long been a focus of research, existing testing methods do not address many of the fundamental characteristics of distributed systems, such as distribution","['MJ Rutherford', 'A Carzaniga']",2008,IEEE Transactions on Software Engineering
Evaluating test-suite reduction in real software evolution,"Test-suite reduction (TSR) speeds up regression testing by removing redundant tests from the test suite, thus running fewer tests in the future builds. To decide whether to use TSR or not, a developer needs some way to predict how well the reduced test suite will detect real","['A Shi', 'A Gyori', 'S Mahmood', 'P Zhao']",2018,Proceedings of the 27th ACM SIGSOFT International Symposium on Software Testing and Analysis
Evaluating the effects of compiler optimizations on mutation testing at the compiler IR level,Software testing is one of the most widely used approaches for improving software reliability. The effectiveness of testing depends to a large extent on the quality of test suites. Researchers have developed various techniques to evaluate the quality of test suites. Of,"['F Hariri', 'A Shi', 'H Converse', 'S Khurshid']",2016,2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE)
Evaluating the synergies of integrating e-assessment and software testing,"Teaching and learning rely on assessments. They help to measure performance and to keep track of learning success. Manual assessments are very time-consuming for teaching personnel. Therefore, e-learning and in particular e-assessment systems are introduced by","['TA Majchrzak', 'CA Usener']",2013,Information Systems Development
Evaluation and analysis of incorporating Fuzzy Expert System approach into test suite reduction,"Context Software has become increasingly important in our modern society. However, when new features are developed due to user requests, such requests could make the sizes of test-case pools bigger. Many techniques are proposed to solve this problem, such as test suite","['CY Huang', 'CS Chen', 'CE Lai']",2016,Information and Software Technology
Evaluation and improvement of automated software test suites,"Automated software tests are an important means of quality assurance in software projects and for helping to detect faults in software products early. While various measures and techniques have been proposed to evaluate test suites, code coverage metrics are the most",['R Niedermayr'],2019,
Evaluation of GUI testing techniques for system crashing: from real to model-based controlled experiments,Cellular phone applications are becoming more complex as well as their testing. Graphical User Interface (GUI) testing is a current trend to test such applications by simulating user interaction. Several techniques are proposed and their efficiency (execution cost) and,['C Bertolini'],2010,
Evaluation of mutant sampling criteria in object-oriented mutation testing,"Mutation testing of object-oriented programs differs from that of standard (traditional) mutation operators in accordance to the number of generated mutants and ability of tests to kill mutants. Therefore, outcomes of cost reduction analysis cannot be directly transferred","['A Derezińska', 'M Rudnik']",2017,Proceedings of the 2017 Federated Conference on Computer Science and Information Systems
Evaluation of mutation testing in a nuclear industry case study,"For software quality assurance, many safety-critical industries appeal to the use of dynamic testing and structural coverage criteria. However, there are reasons to doubt the adequacy of such practices. Mutation testing has been suggested as an alternative or complementary","['P Delgado-Pérez', 'I Habli', 'S Gregory']",2018,IEEE Transactions on Reliability
Evaluation of the prediction-based approach to cost reduction in mutation testing,"Mutation testing is the most effective technique for assessing the quality of test suites, but it is also very expensive in terms of computational costs. The cost arises from the need to generate and execute a large number of so called mutants. The paper presents and","['J Strug', 'B Strug']",2018,"Advances in Intelligent Systems and Computing, Information Systems Architecture and Technology: Proceedings of 39th International Conference on Information Systems Architecture and Technology – ISAT 2018"
Experience report: An industrial experience report on test outsourcing practices,"Nowadays, many companies contract their testing functionalities out to third-party IT outsourcing companies. This process referred to as test outsourcing is common in the industry, yet it is rarely studied in the research community. In this paper, to bridge the gap","['X Xia', 'D Lo', 'PS Kochhar', 'Z Xing']",2015,2015 IEEE 26th International Symposium on Software Reliability Engineering (ISSRE)
Experience report: An industrial experience report on test outsourcing practices.(2015),"Nowadays, many companies contract their testing functionalities out to third-party IT outsourcing companies. This process referred to as test outsourcing is common in the industry, yet it is rarely studied in the research community. In this paper, to bridge the gap","['X XIA', 'LO David', 'PS KOCHHAR', 'Z XING']",NA,2015 IEEE 26th International Symposium on Software Reliability Engineering (ISSRE)
"Experience report: How do techniques, programs, and tests impact automated program repair?","Automated program repair can save tremendous manual efforts in software debugging. Therefore, a huge body of research efforts have been dedicated to design and implement automated program repair techniques. Among the existing program repair techniques","['X Kong', 'L Zhang', 'WE Wong', 'B Li']",2015,2015 IEEE 26th International Symposium on Software Reliability Engineering (ISSRE)
Experience report: How is dynamic symbolic execution different from manual testing? a study on klee,"Software testing has been the major approach to software quality assurance for decades, but it typically involves intensive manual efforts. To reduce manual efforts, researchers have proposed numerous approaches to automate test-case generation, which is one of the most","['X Wang', 'L Zhang', 'P Tanofsky']",2015,Proceedings of the 2015 International Symposium on Software Testing and Analysis
Experimental evaluation of mutation testing approaches to python programs,Mutation testing of Python programs raises a problem of incompetent mutants. Incompetent mutants cause execution errors due to inconsistency of types that cannot be resolved before run-time. We present a practical approach in which incompetent mutants can be generated,"['A Derezinska', 'K Halas']",2014,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation Workshops"
Experimenting with a multi-approach testing strategy for adaptive systems,"Context: Testing adaptive systems (ASs) is particularly challenging due to certain characteristics such as the high number of possible configurations, runtime adaptations and the interactions between the system and its surrounding environment","['BR Siqueira', 'MC Júnior', 'FC Ferrari']",2018,Proceedings of the 17th Brazilian Symposium on Software Quality
Exploiting the saturation effect in automatic random testing of android applications,"Monkey Fuzz Testing (MFT), a form of random testing, continues to gain popularity to test Android apps because of its ease of use.(Untrained) programmers use MFT tools to fully automatically detect certain classes of faults in apps. A challenge for these tools is the lack of","['D Amalfitano', 'N Amatucci', 'AR Fasolino']",2015,2015 2nd ACM International Conference on Mobile Software Engineering and Systems
Explorando gamificação no ensino de teste de software,"Context: Testing is a fundamental activity in the development process, and aims at revealing faults. Despite its importance, the time devoted to testing education has not been enough, resulting in the lack of trained professionals. Other problems faced are misalignment",['GM Jesus'],2019,
Exploring design decisions for mutation testing,"Software testing is by far the most popular technique used in industry for quality assurance. One key challenge of software testing is how to evaluate the quality of test suites in terms of their bug-finding capability. A test suite with a large number of tests, or that achieves a high",['F Hariri'],2018,
Exploring output-based coverage for testing PHP web applications,"In software testing, different testers focus on different aspects of the software such as functionality, performance, design, and other attributes. While many tools and coverage metrics exist to support testers at the code level, not much support is targeted for testers who","['HV Nguyen', 'HD Phan', 'C Kästner']",2019,Automated Software Engineering
Exploring test suite diversification and code coverage in multi-objective test case selection,"Test case selection is a classic testing technique to choose a subset of existing test cases for execution, due to the limited budget and tight deadlines. While'code coverage'is the state of practice among test case selection heuristics, recent literature has shown thattest case","['D Mondal', 'H Hemmati']",2015,"2015 IEEE 8th International Conference on Software Testing, Verification and Validation (ICST)"
Exploring topological structure of boolean expressions for test data selection,Several test strategies have emerged to detect faults associated Boolean expressions. Current approaches lack a proper model to give an overall picture of the Boolean expressions and comprehensive exploration of test data space. This paper proposes a,"['L Yu', 'W Zhao', 'X Fan', 'J Zhu']",2009,2009 Third IEEE International Symposium on Theoretical Aspects of Software Engineering
Exposing library API misuses via mutation analysis,Misuses of library APIs are pervasive and often lead to software crashes and vulnerability issues. Various static analysis tools have been proposed to detect library API misuses. They often involve mining frequent patterns from a large number of correct API usage examples,"['M Wen', 'Y Liu', 'R Wu', 'X Xie']",2019,2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE)
Extended program invariants: applications in testing and fault localization,"Invariants are powerful tools for program analysis and reasoning. Several tools and techniques have been developed to infer invariants of a program. Given a test suite for a program, an invariant detection tool (IDT) extracts (potential) invariants from the program","['MA Alipour', 'A Groce']",2012,Proceedings of the 2012 Workshop on Dynamic Analysis - WODA 2012
Extending coverage criteria by evaluating their robustness to code structure changes,"Code coverage is usually used as a measurement of testing quality and as adequacy criterion. Unfortunately, code coverage is very sensitive to modifications of the code structure, and, therefore, the same test suite can achieve different degrees of coverage on","['A Gargantini', 'M Guarnieri', 'E Magri']",2012,"Testing Software and Systems, Lecture Notes in Computer Science"
Extending the Bacterio tool for web application mutation testing.,,"['M Polo', 'D Caivano', 'PR Mateo']",NA,
Fairness testing: testing software for discrimination,"This paper defines software fairness and discrimination and develops a testing-based method for measuring if and how much software discriminates, focusing on causality in discriminatory behavior. Evidence of software discrimination has been found in modern","['S Galhotra', 'Y Brun', 'A Meliou']",2017,Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering
Fast and accurate incremental feedback for students' software tests using selective mutation analysis,"As incorporating software testing into programming assignments becomes routine, educators have begun to assess not only the correctness of students' software, but also the adequacy of their tests. In practice, educators rely on code coverage measures, though its","['AM Kazerouni', 'JC Davis', 'A Basak', 'CA Shaffer']",2021,Journal of Systems and Software
Faster mutation analysis via equivalence modulo states,"Mutation analysis has many applications, such as asserting the quality of test suites and localizing faults. One important bottleneck of mutation analysis is scalability. The latest work explores the possibility of reducing the redundant execution via split-stream execution","['B Wang', 'Y Xiong', 'Y Shi', 'L Zhang', 'D Hao']",2017,Proceedings of the 26th ACM SIGSOFT International Symposium on Software Testing and Analysis
Faster mutation testing inspired by test prioritization and reduction,"Mutation testing is a well-known but costly approach for determining test adequacy. The central idea behind the approach is to generate mutants, which are small syntactic transformations of the program under test, and then to measure for a given test suite how","['L Zhang', 'D Marinov', 'S Khurshid']",2013,Proceedings of the 2013 International Symposium on Software Testing and Analysis
Faster mutation-based fault localization with a novel mutation execution strategy,Checking program entities for finding faults is extremely tedious for developers. Fault localization techniques are designed to give a rank list of the probability that program entities incur faults to assist developers to locate faults. Mutation-based fault localization is a,"['P Gong', 'R Zhao', 'Z Li']",2015,"2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
Fault Evaluator: a tool for experimental investigation of effectiveness in software testing,"The specifications for many software systems, including safety-critical control systems, are often described using complex logical expressions. It is important to find effective methods to test implementations of such expressions. Analyzing the effectiveness of the testing of","['W Jenkins', 'S Vilkomir']",2010,2010 IEEE International Conference on Progress in Informatics and Computing
Fault detection probability analysis for coverage-based test suite reduction,Test suite reduction seeks to reduce the number of test cases in a test suite while retaining a high percentage of the original suite's fault detection effectiveness. Most approaches to this problem are based on eliminating test cases that are redundant relative to some coverage,"['S McMaster', 'A Memon']",2007,2007 IEEE International Conference on Software Maintenance
Featured model-based mutation analysis,"Model-based mutation analysis is a powerful but expensive testing technique. We tackle its high computation cost by proposing an optimization technique that drastically speeds up the mutant execution process. Central to this approach is the Featured Mutant Model, a","['X Devroey', 'G Perrouin', 'M Papadakis', 'A Legay']",2016,Proceedings of the 38th International Conference on Software Engineering
Feedback-based random test generator for TSTL,"Software testing is the process of evaluating the accuracy and performance of software, and automated software testing allows programmers to develop software more efficiently by decreasing testing costs. We compared two advanced random test generators, a Feedback",['K Kaneoka'],2017,
Feedback-controlled random test generation,"Feedback-directed random test generation is a widely used technique to generate random method sequences. It leverages feedback to guide generation. However, the validity of feedback guidance has not been challenged yet. In this paper, we investigate the","['K Yatoh', 'K Sakamoto', 'F Ishikawa']",2015,Proceedings of the 2015 International Symposium on Software Testing and Analysis
File Systems are Hard to Test—Learning from Xfstests,"Modern file systems, such as ext4, btrfs, and XFS, are evolving and enable the introduction of new features to meet ever-changing demands and improve reliability. File system developers are struggling to eliminate all software bugs, but the operating system","['N Aota', 'K Kono']",2019,IEICE Transactions on Information and Systems
Finding redundancy in web mutation operators,"New web development technologies enhance functionality of web applications but also introduce challenges in testing the software. As mutation analysis has been shown to be effective at designing tests for traditional software, we previously proposed web mutation","['U Praphamontripong', 'J Offutt']",2017,"2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
Fine-grained code coverage measurement in automated black-box android testing,"Today, there are millions of third-party Android applications. Some of them are buggy or even malicious. To identify such applications, novel frameworks for automated black-box testing and dynamic analysis are being developed by the Android community. Code","['A Pilgun', 'O Gadyatskaya', 'Y Zhauniarovich']",2020,ACM Transactions on Software Engineering and Methodology
Fine-grained test minimization,"As a software system evolves, its test suite can accumulate redundancies over time. Test minimization aims at removing redundant test cases. However, current techniques remove whole test cases from the test suite using test adequacy criteria, such as code coverage","['A Vahabzadeh', 'A Stocco']",2018,EasyChair Preprints
Fragment analysis and test case generation using F-measure for adaptive random testing and partitioned block based adaptive random testing,Test case generation is a path to identify the solution in software testing. Adaptive random testing is an enhancement of random testing to improve the quality of fault-revealing. The research focuses on software adaptive random testing based on Matrix called Partitioned,"['D Indhumathi', 'S Sarala']",2014,International Journal of Computer Applications
From Daikon to Agitator: lessons and challenges in building a commercial tool for developer testing,"Developer testing is of one of the most effective strategies for improving the quality of software, reducing its cost, and accelerating its development. Despite its widely recognized benefits, developer testing is practiced by only a minority of developers. The slow adoption","['M Boshernitsan', 'R Doong', 'A Savoia']",2006,
Full predicate coverage for testing SQL database queries,"In the field of database applications a considerable part of the business logic is implemented using a semi‐declarative language: the Structured Query Language (SQL). Because of the different semantics of SQL compared with other procedural languages, the conventional","['J Tuya', 'MJ Suárez‐Cabal']",2010,"Software Testing, Verification and Reliability"
Functional and Security testing of a Mobile Application,"A mobile application has been developed to be used for assistance in crisis scenarios. To assure the application is dependable enough to be used in such scenarios, the application was put under test. This thesis investigates different approaches to functional testing and","['J Sjöstrand', 'S Westberg']",2017,
GECOJAP: A novel source-code preprocessing technique to improve code coverage,Safety critical standards such as DO178B/DO178C/RTCA (Radio Technical Commission for Aeronautics) mandates coverage based testing in Aerospace applications. These standards mandate Level A certification for Modified Condition/Decision Coverage (MC/DC). To,"['S Godboley', 'A Dutta', 'DP Mohapatra', 'R Mall']",2018,Computer Standards & Interfaces
Gamification in software testing: A characterization study,"Context: Testing is a fundamental activity in the software development cycle. Revealing software faults is its main objective. Despite that, testing is considered unpleasant, dull and tedious. As a result, there is a lack of expertise among professionals while many projects fail","['GM de Jesus', 'FC Ferrari', 'D de Paula Porto']",2018,
Gamification of software testing,"Writing good software tests is difficult, not every software developer's favorite occupation, and not a prominent aspect in programming education. However, human involvement in testing is unavoidable: What makes a test good is often down to intuition; what makes a test",['G Fraser'],2017,2017 IEEE/ACM 12th International Workshop on Automation of Software Testing (AST)
Gamification to aid the learning of test coverage concepts,The ability to effectively and efficiently test software is an important practice in software testing that is often under-emphasized in computer science education. Many students find learning about testing to be uninteresting and difficult to learn. This causes numerous,"['E Sherif', 'A Liu', 'B Nguyen', 'S Lerner']",2020,2020 IEEE 32nd Conference on Software Engineering Education and Training (CSEE&T)
Gamifying a software testing course with code defenders,"Software testing is an essential skill for software developers, but it is challenging to get students engaged in this activity. The Code Defenders game addresses this problem by letting students compete over code under test by either introducing faults ("" attacking"") or by","['G Fraser', 'A Gambi', 'M Kreis', 'JM Rojas']",2019,
Generate test selection statistics with automated selective mutation,Objectives. This thesis focuses on co-relating code packages to test packages by automating mutation to inject error into C code. Regression testing against mutated code establishes co-relations. Co-relation data of particular modified code packages can be used,['GD Charan'],2020,
Generating effective test suites by combining coverage criteria,"A number of criteria have been proposed to judge test suite adequacy. While search-based test generation has improved greatly at criteria coverage, the produced suites are still often ineffective at detecting faults. Efficacy may be limited by the single-minded application of one",['G Gay'],2017,"Search Based Software Engineering, Lecture Notes in Computer Science"
Generating effective test suites for reactive systems using specification mining,Failures in reactive embedded systems are often unacceptable. Effective testing of embedded systems to detect such unacceptable failures is a difficult task. We present an automated black box test suite generation technique for embedded systems. The technique,['PR Bokil'],2014,
Generating source inputs for metamorphic testing using dynamic symbolic execution,"Metamorphic testing uses domain-specific properties about a program's intended behaviour to alleviate the oracle problem. From a given set of source test inputs, a set of follow-up test inputs are generated which have some relation to the source inputs, and their outputs are","['E Alatawi', 'T Miller', 'H Søndergaard']",2016,Proceedings of the 1st International Workshop on Metamorphic Testing
Generating unit tests for concurrent classes,"As computers become more and more powerful, programs are increasingly split up into multiple threads to leverage the power of multi-core CPUs. However, writing correct multi-threaded code is a hard problem, as the programmer has to ensure that all access to shared","['S Steenbuck', 'G Fraser']",2013,"2013 IEEE Sixth International Conference on Software Testing, Verification and Validation"
Generating various contexts from permissions for testing Android applications.,"Page 1. Generating various contexts from permissions for testing Android applications Kwangsik Song, Ah-Rim Han, Sehun Jeong, Sungdeok Cha Presented by Ah-Rim Han Korea University, South Korea 2015. 7. 6 Page 2. Contents • Introduction • Overview • Testing Android applications","['K Song', 'AR Han', 'S Jeong', 'SD Cha']",2015,Proceedings of the 27th International Conference on Software Engineering and Knowledge Engineering
Generation of test requirements from aspectual use cases,"To effectively uncover aspect defects, system (or subsystem) testing is of importance because aspects crosscut multiple system components. This paper presents an approach for generating system test requirements from aspect-oriented use cases. Central to this","['D Xu', 'X He']",2007,Proceedings of the 3rd workshop on Testing aspect-oriented programs  - WTAOP '07
Generic method for statistical testing of parallel programs based on task trees,"This paper deals with a particular class of parallel programs, which are based on task trees. The main objective of this paper was to adapt the generic method for statistical testing of sequential programs (GMST-SP) for this class of parallel programs, such that adapted","['M Popovic', 'I Kupresanin']",2012,Scientific Research and Essays
Genetic improvement using higher order mutation,This paper presents a brief outline of a higher-order mutation-based framework for Genetic Improvement (GI). We argue that search-based higher-order mutation testing can be used to implement a form of genetic programming (GP) to increase the search granularity and,"['Y Jia', 'F Wu', 'M Harman', 'J Krinke']",2015,Proceedings of the Companion Publication of the 2015 Annual Conference on Genetic and Evolutionary Computation
Goal-oriented mutation testing with focal methods,"Mutation testing is the state-of-the-art technique for assessing the fault-detection capacity of a test suite. Unfortunately, mutation testing consumes enormous computing resources because it runs the whole test suite for each and every injected mutant. In this paper we","['S Vercammen', 'M Ghafari', 'S Demeyer']",2018,"Proceedings of the 9th ACM SIGSOFT International Workshop on Automating TEST Case Design, Selection, and Evaluation"
Grammar-driven generation of domain-specific language testing tools using aspects,Domain-specific languages (DSLs) assist a software developer (or end-user) in writing a program using idioms that are similar to the abstractions found in a specific problem domain. Testing tool support for DSLs is lacking when compared to the capabilities,['H Wu'],2007,
Greenscaler: training software energy models with automatic test generation,Software energy consumption is a performance related non-functional requirement that complicates building software on mobile devices today. Energy hogging applications (apps) are a liability to both the end-user and software developer. Measuring software energy,"['S Chowdhury', 'S Borle', 'S Romansky']",2019,Empirical Software Engineering
Grt: Program-analysis-guided random testing (t),"We propose Guided Random Testing (GRT), which uses static and dynamic analysis to include information on program types, data, and dependencies in various stages of automated test generation. Static analysis extracts knowledge from the system under test","['L Ma', 'C Artho', 'C Zhang', 'H Sato']",2015,2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE)
Guided mutation testing for javascript web applications,"Mutation testing is an effective test adequacy assessment technique. However, there is a high computational cost in executing the test suite against a potentially large pool of generated mutants. Moreover, there is much effort involved in filtering out equivalent","['S Mirshokraie', 'A Mesbah']",2014,IEEE Transactions on Software Engineering
Guidelines for coverage-based comparisons of non-adequate test suites,"A fundamental question in software testing research is how to compare test suites, often as a means for comparing test-generation techniques that produce those test suites. Researchers frequently compare test suites by measuring their coverage. A coverage criterion C provides","['M Gligoric', 'A Groce', 'C Zhang', 'R Sharma']",2015,ACM Transactions on Software Engineering and Methodology
Guiding app testing with mined interaction models,"Test generators for graphical user interfaces must constantly choose which UI element to interact with, and how. We guide this choice by mining associations between UI elements and their interactions from the most common applications. Once mined, the resulting UI","['NP Borges', 'M Gómez', 'A Zeller']",2018,Proceedings of the 5th International Conference on Mobile Software Engineering and Systems
Guiding testing effort using mutant utility,"This paper addresses two long-standing goals in software testing: making mutation-based testing practical and software testing overall more effective, predictable, and consistent. To that end, this paper proposes a novel mutation-based approach that guides testing effort","['J Alvin', 'B Kurtz', 'P Ammann']",2019,2019 IEEE/ACM 41st International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)
HMER: a hybrid mutation execution reduction approach for mutation-based fault localization,"Identifying the location of faults in programs has been recognized as one of the most manually and time cost activities during software debugging process. Fault localization techniques, which seek to identify faulty program statements as quickly as possible, can","['Z Li', 'H Wang', 'Y Liu']",2020,Journal of Systems and Software
Harnessing automated test case generators for GUI testing in industry,"Modern graphical user interfaces (GUIs) are highly dynamic and support multi-touch interactions and screen gestures besides conventional inputs via mouse and keyboard. Hence, the flexibility of modern GUIs enables countless usage scenarios and combinations","['C Klammer', 'R Ramler']",2016,2016 42th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)
Higher accuracy and lower run time: efficient mutation analysis using non‐redundant mutation operators,"Mutation analysis is a powerful but computationally expensive method to measure the effectiveness of a testing or debugging technique. The high cost is due, in part, to redundant mutants generated by commonly used mutation operators. A mutant is said to be redundant","['R Just', 'F Schweiggert']",2015,"Software Testing, Verification and Reliability"
Higher order mutation testing: A Systematic,"Page 1. See discussions, stats, and author profiles for this publication at: https://www. researchgate.net/publication/318922725 Higher order mutation testing: A Systematic Literature Review Article in Computer Science Review · August 2017 DOI","['A Ghiduk', 'M Girgis']",2017,
Higher order mutation testing: a systematic literature review,"Mutation testing is the process whereby a fault is deliberately inserted into a software system, in order to assess the quality of test data, in terms of its ability to find this fault. Mutation testing is also used as a way to drive the test data development process","['AS Ghiduk', 'MR Girgis', 'MH Shehata']",2017,Computer Science Review
How do assertions impact coverage-based test-suite reduction?,"Code coverage is the dominant criterion in test-suite reduction. Typically, most test-suite reduction techniques repeatedly remove tests covering code that has been covered by other tests from the test suite. However, test-suite reduction based on code coverage alone may","['J Chen', 'Y Bai', 'D Hao', 'L Zhang']",2017,"2017 IEEE International Conference on Software Testing, Verification and Validation (ICST)"
How do automatically generated unit tests influence software maintenance?,"Generating unit tests automatically saves time over writing tests manually and can lead to higher code coverage. However, automatically generated tests are usually not based on realistic scenarios, and are therefore generally considered to be less readable. This places","['S Shamshiri', 'JM Rojas', 'JP Galeotti']",2018,"2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)"
How do developers test android applications?,Enabling fully automated testing of mobile applications has recently become an important topic of study for both researchers and practitioners. A plethora of tools and approaches have been proposed to aid mobile developers both by augmenting manual testing practices,"['M Linares-Vásquez', 'C Bernal-Cárdenas']",2017,2017 IEEE International Conference on Software Maintenance and Evolution (ICSME)
How do static and dynamic test case prioritization techniques perform on modern software systems? An extensive study on GitHub projects,"Test Case Prioritization (TCP) is an increasingly important regression testing technique for reordering test cases according to a pre-defined goal, particularly as agile practices gain adoption. To better understand these techniques, we perform the first extensive study aimed","['Q Luo', 'K Moran', 'L Zhang']",2018,IEEE Transactions on Software Engineering
How does combinatorial testing perform in the real world: an empirical study,"Studies have shown that combinatorial testing (CT) can be effective for detecting faults in software systems. By focusing on the interactions between different factors of a system, CT shows its potential for detecting faults, especially those that can be revealed only by the","['L Hu', 'WE Wong', 'DR Kuhn', 'RN Kacker']",2020,Empirical Software Engineering
How does regression test prioritization perform in real-world software evolution?,"In recent years, researchers have intensively investigated various topics in test prioritization, which aims to re-order tests to increase the rate of fault detection during regression testing. While the main research focus in test prioritization is on proposing novel prioritization","['Y Lu', 'Y Lou', 'S Cheng', 'L Zhang', 'D Hao', 'Y Zhou']",2016,Proceedings of the 38th International Conference on Software Engineering
How effective are code coverage criteria?,"Code coverage is one of the main metrics to measure the adequacy of a test case/suite. It has been studied a lot in academia and used even more in industry. However, a test case may cover a piece of code (no matter what coverage metric is being used) but miss its faults",['H Hemmati'],2015,"2015 IEEE International Conference on Software Quality, Reliability and Security"
How effective are mutation testing tools? An empirical analysis of Java mutation testing tools with manual analysis and real faults,"Mutation analysis is a well-studied, fault-based testing technique. It requires testers to design tests based on a set of artificial defects. The defects help in performing testing activities by measuring the ratio that is revealed by the candidate tests. Unfortunately","['M Kintis', 'M Papadakis', 'A Papadopoulos']",2018,Empirical Software Engineering
"How far are we from testing a program in a completely automated way, considering the mutation testing criterion at unit level?","Testing is a mandatory activity to guarantee software quality. Not only knowledge about the software under testing is required to generate high-quality test cases, but also knowledge about the business rules implemented in software product to cover more than 80% of its","['FS Araujo', 'AM Rizzo Vincenzi']",2020,19th Brazilian Symposium on Software Quality
How good are my tests?,"Background: Test quality is a prerequisite for achieving production system quality. While the concept of quality is multidimensional, most of the effort in testing context has been channelled towards measuring test effectiveness. Objective: While effectiveness of tests is","['D Bowes', 'T Hall', 'J Petric', 'T Shippey']",2017,2017 IEEE/ACM 8th Workshop on Emerging Trends in Software Metrics (WETSoM)
How good are your types? using mutation analysis to evaluate the effectiveness of type annotations,"Software engineers primarily use two orthogonal means to reduce susceptibility to faults: software testing and static type checking. While many strategies exist to evaluate the effectiveness of a test suite in catching bugs, there are few that evaluate the effectiveness of","['R Gopinath', 'E Walkingshaw']",2017,"2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
"How hard does mutation analysis have to be, anyway?","Mutation analysis is considered the best method for measuring the adequacy of test suites. However, the number of test runs required for a full mutation analysis grows faster than project size, which is not feasible for real-world software projects, which often have more","['R Gopinath', 'A Alipour', 'I Ahmed']",2015,2015 IEEE 26th International Symposium on Software Reliability Engineering (ISSRE)
How test suites impact fault localisation starting from the size,"Although a test suite is indispensable for conducting effective fault localisation, not much work has been done to study how the test suite impacts fault localisation. This study presents a systematic study for a deeper understanding of their relation. Specifically, the authors'","['Y Lei', 'C Sun', 'X Mao', 'Z Su']",2018,IET Software
How the experience of development teams relates to assertion density of test classes,"The impact of developers' experience on several development practices has been widely investigated in the past. One of the most promising research fields is software testing, as many researchers found significant correlations between developers' experience and testing","['G Catolino', 'F Palomba', 'A Zaidman']",2019,2019 IEEE International Conference on Software Maintenance and Evolution (ICSME)
How to kill them all: an exploratory study on the impact of code observability on mutation testing,"Mutation testing is well-known for its efficacy in assessing test quality, and starting to be applied in the industry. However, what should a developer do when confronted with a low mutation score? Should the test suite be plainly reinforced to increase the mutation score, or","['Q Zhu', 'A Zaidman', 'A Panichella']",2021,
How to optimize the use of SAT and SMT solvers for test generation of boolean expressions,"In the context of automatic test generation, the use of propositional satisfiability (SAT) and Satisfiability Modulo Theories (SMT) solvers is becoming an attractive alternative to traditional algorithmic test generation methods, especially when testing Boolean","['P Arcaini', 'A Gargantini', 'E Riccobene']",2015,The Computer Journal
How verified (or tested) is my code? Falsification-driven verification and testing,"Formal verification has advanced to the point that developers can verify the correctness of small, critical modules. Unfortunately, despite considerable efforts, determining if a “verification” verifies what the author intends is still difficult. Previous approaches are difficult","['A Groce', 'I Ahmed', 'C Jensen', 'PE McKenney']",2018,Automated Software Engineering
